No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q41.html"",""平成27年春期 問41"")",2026/8/23
2,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q29.html"",""平成17年秋期 問29"")",2026/8/23
3,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q29.html"",""令和3年春期 問29"")",2026/8/23
4,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q41.html"",""令和5年春期 問41"")",2026/8/23
5,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q33.html"",""平成22年春期 問33"")",2026/8/23
6,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q71.html"",""平成19年秋期 問71"")",2026/8/23
7,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q66.html"",""平成17年春期 問66"")",2026/8/23
8,-,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q19.html"",""令和7年春期 問19"")",2026/8/23
9,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q39.html"",""平成30年秋期 問39"")",2026/8/23
10,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q47.html"",""平成31年春期 問47"")",2026/8/23
11,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q24.html"",""平成18年春期 問24"")",2026/8/23
12,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q49.html"",""平成23年秋期 問49"")",2026/8/23
13,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q25.html"",""令和4年秋期 問25"")",2026/8/23
14,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q15.html"",""平成29年春期 問15"")",2026/8/23
15,-,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q34.html"",""平成21年秋期 問34"")",2026/8/23
16,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q26.html"",""平成23年秋期 問26"")",2026/8/23
17,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q27.html"",""平成21年春期 問27"")",2026/8/23
18,○,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q56.html"",""平成19年秋期 問56"")",2026/8/23
19,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q64.html"",""平成17年春期 問64"")",2026/8/23
20,-,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q32.html"",""平成19年春期 問32"")",2026/8/23
21,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q77.html"",""平成18年春期 問77"")",2026/8/23
22,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q42.html"",""平成17年秋期 問42"")",2026/8/23
23,-,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q35.html"",""平成30年春期 問35"")",2026/8/23
24,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q21.html"",""令和4年秋期 問21"")",2026/8/23
25,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q34.html"",""平成17年春期 問34"")",2026/8/23
26,-,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q32.html"",""平成27年春期 問32"")",2026/8/23
27,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q41.html"",""平成30年秋期 問41"")",2026/8/23
28,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q27.html"",""令和2年秋期 問27"")",2026/8/23
29,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q10.html"",""平成27年秋期 問10"")",2026/8/23
